@relation PD_11Clusters

@attribute 'Jitter(\%)' numeric
@attribute Jitter(Abs) numeric
@attribute Jitter:RAP numeric
@attribute Jitter:PPQ5 numeric
@attribute Jitter:DDP numeric
@attribute Shimmer numeric
@attribute Shimmer(dB) numeric
@attribute Shimmer:APQ3 numeric
@attribute Shimmer:APQ5 numeric
@attribute Shimmer:APQ11 numeric
@attribute Shimmer:DDA numeric
@attribute NHR numeric
@attribute HNR numeric
@attribute RPDE numeric
@attribute DFA numeric
@attribute PPE numeric
@attribute output numeric

@data
1.29345,1.69347,1.338748,0.912847,1.248489,0.969387,0.221527,1.020828,0.986326,1.231877,0.628845,1.381012,22.196121,1.858789,0.717911,1.662869,2
0.628612,-0.115344,1.573603,1.657368,0.148846,0.639537,0.796362,0.334397,1.641787,0.606388,1.017654,-0.52902,35.12963,0.5247,2.03594,0.30732,9
1.658816,-0.511666,-0.276925,0.405002,0.935265,0.328626,-0.612131,-1.084319,1.389287,0.188009,-0.482056,0.702967,24.791188,0.42747,0.765318,1.899083,11
1.019072,1.889845,1.397175,1.058997,0.928026,1.747003,1.498719,0.309777,0.984748,1.042003,0.422807,0.559642,28.696375,2.049466,1.442543,1.879922,3
0.883746,0.188285,-2.49311,0.749448,-1.368326,0.622133,0.24399,-0.210949,-0.299653,1.115436,-1.682161,-0.085902,31.361259,1.615222,1.987593,1.055176,6
1.013902,0.867384,-0.586317,-0.933894,1.896683,0.304777,0.966103,1.509867,0.540233,1.407962,0.496198,0.504181,24.812096,1.549862,1.277804,0.606017,11
0.883807,1.397193,1.061749,1.339667,1.796873,1.399355,1.676049,1.266486,1.171686,0.826617,0.81703,1.478406,24.685209,1.41183,1.804204,0.79292,11
0.174622,0.54231,0.712852,1.242118,1.633045,0.452988,1.119975,0.637825,1.10811,0.987706,1.119752,1.297722,24.97982,0.743258,1.534745,2.093535,11
1.467904,0.546326,-0.251626,-0.736857,-0.401632,1.53993,2.011716,0.928166,0.865594,1.693975,1.774027,0.590095,24.125596,1.608156,1.856784,1.75204,11
0.34489,0.652251,0.558154,0.312208,0.880515,1.086769,1.112294,0.974477,1.338257,0.163641,1.069463,0.242223,25.29514,1.375316,1.469241,1.26836,11
0.187983,0.143984,0.747751,0.734965,1.138789,0.724023,0.805862,0.28656,-0.179984,0.978731,1.347865,1.355738,31.314496,1.672203,2.152353,1.748683,6
1.416431,0.476803,1.798664,0.389825,0.935731,0.90019,0.73766,-0.572015,0.517867,1.268006,0.439029,0.29892,28.389215,1.638626,0.84662,1.365061,3
0.309729,0.030475,0.910933,0.95506,1.006143,1.792313,0.693257,0.785334,1.48678,0.716031,1.200271,0.590596,24.438287,1.64799,1.231321,1.637774,11
-0.035911,0.540193,0.633195,0.503647,0.433146,-0.444311,-0.228402,1.197712,0.898453,0.966193,-0.79894,1.490145,28.567621,2.028346,1.564015,0.414818,3
0.631346,0.794767,0.166798,0.742203,0.727469,0.642504,0.921024,0.823826,0.28016,-0.089832,1.079618,-0.003717,27.578053,1.33654,1.899613,1.065227,3
1.502244,0.671404,0.677017,0.202919,-0.211371,0.318967,1.128436,1.380623,0.136081,0.357774,0.484752,0.061304,24.153123,1.246602,1.582814,0.421947,11
1.340674,0.217268,1.049724,1.658807,1.681564,0.693403,1.030604,0.2487,1.080117,1.523282,0.74695,1.587726,21.865523,1.70821,1.761441,1.544901,2
1.537459,1.703828,0.961913,1.381204,1.052174,0.317171,1.232476,1.700299,0.891416,0.962105,0.653438,1.351023,25.111756,1.779364,1.393635,1.970267,11
0.811585,0.646305,1.663998,0.622605,0.571903,1.134115,0.354687,0.773479,0.988545,0.470509,1.368235,1.629006,25.25653,0.804196,0.839422,0.836588,11
0.718388,0.472399,0.840344,0.723587,1.812774,1.023003,2.04598,1.38081,1.005108,1.713533,0.858721,-1.712609,25.022084,1.573422,0.795356,0.364712,11
-0.155837,1.300233,-2.618986,0.031626,-2.782281,0.396539,1.064026,-1.141282,0.144721,0.16583,0.343371,-2.515241,30.247458,1.773954,1.318841,0.895048,6
1.385432,0.279931,0.543754,0.939358,0.838378,0.888064,1.151633,0.785461,0.80749,1.569917,1.041591,1.251424,21.267362,1.16487,1.586012,1.241829,2
0.881039,1.0262,-0.679516,1.233225,1.075471,1.190375,1.231791,0.745868,1.073648,1.438655,0.22077,0.176801,27.687565,1.963682,1.051494,1.392144,3
1.600526,1.153944,0.1729,0.948623,0.438594,0.893656,1.862036,0.127165,0.634514,1.705428,0.75932,1.11207,28.076076,0.985109,1.061468,0.435333,3
0.218814,0.828283,-0.366973,0.344834,0.099211,-0.480389,-0.610733,-2.368355,-0.191322,0.21237,0.595311,-1.53146,36.318647,0.778446,1.282436,1.423892,9
1.352597,0.851283,1.56608,1.530702,1.559559,0.768734,1.575266,0.783686,0.522221,1.637136,0.942281,1.540069,20.956881,0.750307,1.219681,1.301462,2
1.635345,-0.257855,0.885272,0.120696,0.981156,-0.816882,0.89472,0.090678,1.76029,-0.197858,0.068039,1.351205,31.792357,0.963697,2.008005,1.638682,6
-0.37656,-0.047202,0.232193,-0.677336,0.781644,0.831177,0.218474,1.242001,-1.19352,-1.023753,0.428234,0.873127,31.140804,1.005352,2.337381,0.406856,6
0.612393,-0.273942,-0.265426,1.641776,0.668503,0.175687,-1.000404,-0.513881,-0.633914,-1.72929,-2.242657,1.149798,32.638467,1.179994,2.111849,0.908206,6
1.239862,0.682057,1.075595,0.090859,0.38809,1.409968,0.313692,-0.241455,-0.506442,0.04752,0.675531,1.15022,31.027424,1.401891,1.956845,1.117665,6
1.760426,0.690681,0.78631,1.891609,1.371257,1.558701,1.40147,1.712314,1.363427,1.287091,1.383721,0.056919,21.538909,0.9332,1.178603,1.560616,2
